price,room,bathroom,surface,link,property_type,city,zone
580000.0,3.0,1.0,81.0,https://www.avito.ma/fr/ain_aouda/appartements/%D8%B9%D9%8A%D9%86_%D8%B9%D9%88%D8%AF%D8%A9_%D9%81%D8%B4%D8%A7%D8%B1%D8%B9_%D9%86%D8%AE%D9%8A%D9%84_%D9%82%D8%B1%D8%A8_%D9%85%D8%AD%D8%B7%D8%A9_%D8%B7%D8%A7%D9%83%D8%B3%D9%8A__56790802.htm,Appartements , Ain Aouda,Toute la ville
320000.0,2.0,1.0,56.0,https://www.avito.ma/fr/lissasfa/appartements/appartement_refaite_%C3%A0_neuf__56760059.htm,Appartements , Casablanca,Lissasfa
3399996.0,6.0,3.0,,https://www.avito.ma/fr/autre_secteur/villas_et_riads/Villa_moderne_%C3%A0_vendre_%C3%A0_T%C3%A9mara_56736330.htm,Villas et Riads , Temara,Autre secteur
1353000.0,,,,https://immoneuf.avito.ma/fr/unite/jF4?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
300000.0,2.0,1.0,50.0,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Martil_56790787.htm,Appartements , Martil,Toute la ville
1200000.0,3.0,1.0,112.0,https://www.avito.ma/fr/majorelle/appartements/RAK_GU_1228___Appartement_%C3%A0_vendre_%C3%A0_Majorelle_56350050.htm,Appartements , Marrakech,Majorelle
1650000.0,5.0,3.0,380.0,https://www.avito.ma/fr/khemisset/maisons/Maison_titr%C3%A9e_avec_deux_%C3%A9tages_trois_garages_56261970.htm,Maisons , Khemisset,Toute la ville
564800.0,,,,https://immoneuf.avito.ma/fr/unite/XjZ?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
2900000.0,4.0,4.0,220.0,https://www.avito.ma/fr/harhoura/appartements/Appartement_%C3%A0_vendre_%C3%A0_c%C3%B4t%C3%A9_de_Paul__55884885.htm,Appartements , Temara,Harhoura
646000.0,,,,https://immoneuf.avito.ma/fr/unite/jYB?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
480000.0,2.0,2.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Bouznika_56060024.htm,Appartements , Bouznika,Autre secteur
